"154","5098","4757","4904","11","2020-10-07 15:30:50","1","750","750","0","0","0","0"
"157","5100","4757","4904","304","2020-10-09 10:42:22","1","750","750","0","0","0","0"
"156","5099","4757","4904","282","2020-10-08 03:33:45","1","750","750","0","0","0","0"
"160","5102","4757","4904","278","2020-10-10 04:26:53","1","750","750","0","0","0","0"
"159","5101","4757","4904","278","2020-10-10 04:15:57","1","750","750","0","0","0","0"
"163","5104","4757","4904","11","2020-10-10 08:38:20","1","750","750","0","0","0","0"
"162","5103","4757","4904","318","2020-10-10 07:10:20","1","750","750","0","0","0","0"
"164","5105","4757","4904","325","2020-10-10 18:10:49","1","10","10","0","0","0","0"
"165","5122","4757","4904","354","2020-10-12 05:22:47","1","10","10","0","0","0","0"
"166","5129","4757","4904","1","2020-10-12 19:23:15","1","750","750","0","0","0","0"
"167","5130","4757","4904","1","2020-10-12 19:35:53","1","750","750","0","0","0","0"
"168","5131","4757","4904","362","2020-10-13 12:02:28","1","750","750","0","0","0","0"
"169","5133","4757","4904","364","2020-10-14 16:24:07","1","750","750","0","0","0","0"
"172","5145","4757","4904","1","2020-10-15 17:33:16","1","750","750","0","0","0","0"
"171","5140","4757","4904","1","2020-10-15 16:27:37","1","750","750","0","0","0","0"
"173","5146","4757","4904","1","2020-10-15 17:40:07","1","750","750","0","0","0","0"
"174","5147","4757","4904","367","2020-10-15 17:44:33","1","750","750","0","0","0","0"
"175","5148","4757","4904","368","2020-10-15 17:45:28","1","750","750","0","0","0","0"
"176","5159","4757","4904","371","2020-10-16 16:00:03","1","10","10","0","0","0","0"
"179","5176","4757","4904","378","2020-10-17 12:05:17","1","750","750","0","0","0","0"
"178","5169","4757","4904","377","2020-10-17 09:32:32","1","750","750","0","0","0","0"
"180","5177","4757","4904","224","2020-10-17 12:38:14","1","750","750","0","0","0","0"
"181","5178","4757","4904","224","2020-10-17 12:40:19","1","750","750","0","0","0","0"
"182","5179","4757","4904","379","2020-10-17 12:52:49","1","750","750","0","0","0","0"
"183","5180","4757","4904","379","2020-10-17 13:20:07","1","750","750","0","0","0","0"
"184","5181","4757","4904","328","2020-10-17 15:24:03","1","750","750","0","0","0","0"
"185","5182","4757","4904","1","2020-10-17 15:31:23","1","750","750","0","0","0","0"
"186","5183","4757","4904","380","2020-10-17 17:07:12","1","750","750","0","0","0","0"
"187","5184","4757","4904","1","2020-10-17 18:35:48","1","750","750","0","0","0","0"
"189","5191","4757","4904","381","2020-10-18 05:46:11","1","750","750","0","0","0","0"
"191","5196","4757","4904","379","2020-10-18 09:36:13","1","750","750","0","0","0","0"
"197","5198","4757","4904","385","2020-10-19 11:18:07","1","750","750","0","0","0","0"
"195","5197","4757","4904","382","2020-10-18 13:10:49","1","750","750","0","0","0","0"
"199","5199","4757","4904","379","2020-10-20 05:06:25","1","750","750","0","0","0","0"
"201","5231","4757","4904","397","2020-10-23 15:16:44","1","750","750","0","0","0","0"
"203","5233","4757","4904","399","2020-10-24 12:30:37","1","750","750","0","0","0","0"
"213","5236","4757","4904","405","2020-10-27 07:49:31","1","10","10","0","0","0","0"
"207","5234","4757","4904","399","2020-10-24 17:16:06","1","750","750","0","0","0","0"
"211","5235","4757","4904","402","2020-10-26 02:47:25","1","750","750","0","0","0","0"
"215","5237","4757","4904","405","2020-10-27 09:21:33","1","750","750","0","0","0","0"
"221","5242","4757","4904","408","2020-10-29 09:12:08","1","750","750","0","0","0","0"
"219","5241","4757","4904","408","2020-10-28 09:55:10","1","750","750","0","0","0","0"
"223","5243","4757","4904","416","2020-10-29 09:40:27","1","750","750","0","0","0","0"
"225","5248","4757","4904","408","2020-10-29 17:35:00","1","750","750","0","0","0","0"
